sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
MT572ET/A,,Default,simple,Default Category/Smartphones/Apple,base,Smartphone Apple iPhone XS Max (512 GB) silver MT572ET/A,<strong>Super&nbsp;Retina. In big and&nbsp;bigger.</strong>,"Smartphone Apple iPhone XS Max 512 GB / MT572ET/ASuper Retina in two sizes — including the largest display ever on an iPhone. Even faster Face ID. The smartest, most powerful chip in a smartphone. And a breakthrough dual-camera system. iPhone XS is everything you love about iPhone. Taken to the extreme.

More info",0.208,1,Taxable Goods,"Catalog, Search",1669,1199,5/10/20,,,Smartphone Apple iPhone XS Max (512 GB),"smartphone,cell phone,phone,smart cell phone,smart phone",Smartphone Apple iPhone XS Max (512 GB),201016-apple-ip-xsmax-silver-1-medium.jpg,Smartphone Apple iPhone XS Max (512 GB),201016-apple-ip-xsmax-silver-1-medium.jpg,Smartphone Apple iPhone XS Max (512 GB),201016-apple-ip-xsmax-silver-1-medium.jpg,Smartphone Apple iPhone XS Max (512 GB),,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,"color=silver,manufacturer=Apple",5,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"201016-apple-ip-xsmax-silver-1-medium.jpg,201017-apple-ip-xsmax-silver-2-medium.jpg,201018-apple-ip-xsmax-silver-3-medium.jpg",Smartphone Apple iPhone XS Max (512 GB) silver MT572ET/A,,,,,,,,,,,,,
MQ8M2ET/A,,Default,simple,Default Category/Smartphones/Apple,base,Smartphone Apple iPhone 8 Plus (64 GB) silver MQ8M2ET/A,"<strong>Design</strong><br>How do you build an iPhone out of durable glass that also allows for wireless charging? By formulating a new kind of glass. Reinforcing it with a laser-welded steel foundation and an aerospace-grade aluminium band. And engineering it down to the micron for water resistance.<br><br><strong>Resists water, splashes and dust.</strong><br>iPhone 8 is precision-engineered at the microscopic level to protect against water, splashes and dust.<br><br><strong>Wireless charging for a wireless world.*</strong><br>Apple always intended iPhone to be a truly wireless device, free from charging cables and headphone cords. With a glass back and an embedded wireless charging system, iPhone 8 is designed for a wireless future.<br><br><strong>Louder, more dynamic stereo speakers.</strong><br>iPhone 8 features redesigned stereo speakers that are up to 25 per cent louder and deliver deeper bass. Crank up the volume and enjoy richer-sounding music, videos and speakerphone calls.<br><br><strong>Advanced security at your fingertip.</strong><br>With Touch ID, your fingerprint is your secure password. Use it to instantly unlock your phone and sign in to many of your favourite apps.<br><br><strong>Retina HD Display</strong><br>How do you make a display that’s more aware of the environment around you? By using light-sensing technology and an expansive colour spectrum to make everything on the screen look and feel more natural.<br><br><strong>True Tone. For a more comfortable viewing experience.</strong><br>True Tone technology uses an advanced four-channel ambient light sensor to subtly adjust the white balance onscreen to match the colour temperature of the light around you. So images on the display look as natural as on a printed page, reducing eye strain.<br><br><strong>Apple's best colour accuracy ever.</strong><br>Lifelike colours and high contrast make everything you look at — photos, films, games, news — crisp and captivating. With a wide colour gamut and Apple's best colour accuracy ever, your photos will look as vibrant as real life.<br><br><strong>Cameras</strong><br>How do you improve on the world’s most popular camera? By introducing a new sensor and powering it with A11 Bionic. It makes advanced photographic techniques easy and automatic — so everyone can shoot unbelievable photos and movies. iPhone 8 cameras are also designed for the most immersive and incredible augmented reality experiences.<br><br><strong>iPhone 8 Plus Dual Cameras</strong><br>iPhone 8 Plus has a wide-angle camera with an ƒ/1.8 six-element lens, optical image stabilisation, and a larger, faster 12MP sensor. It also has a powerful ƒ/2.8 telephoto camera. Together these two cameras enable optical zoom and Portrait mode.<br><br><strong>New advanced ISP. Photo ops, optimised.</strong><br>The intelligent, Apple-designed image signal processor detects elements in the scene — like people, motion and lighting conditions — to optimise your photos even before you take them. It also delivers advanced pixel processing, wide colour capture, faster autofocus and better HDR photos.<br><br><strong>Portrait mode. For a more beautiful depth-of-field effect.</strong><br>Portrait mode gets even better, with sharper detail, more natural background blurring, improved performance in low light and access to flash when you need it.<br><br><strong>Portrait Lighting. Real-time studio lighting effects.</strong><br>The product of extensive research into the art and science of portraiture, Portrait Lighting brings a new dimension to Portrait mode. Powered by A11 Bionic and the new ISP, Portrait Lighting uses facial detection and depth maps to capture portraits with striking shadows, spotlight effects and more.<br><br><strong>Natural Light</strong> - Your subject's face in sharp focus against a blurred background<br><strong>Studio Light</strong> - A clean look with your subject's face brightly in<br><strong>Contour Lights</strong> - Dramatic shadows with hightlights and lowlights<br><strong>Stage light</strong> - Your subject's face spotlit against a deep black background<br><strong>Stage Light Mono</strong> - Like Stage, but in classic black and white<br><br><strong>Front-facing camera. Focus on yourself.</strong><br>With Retina Flash, wide colour capture, advanced pixel technology and auto image stabilisation, the 7MP FaceTime HD camera shoots selfies that stand out.<br><br><strong>New filters. Better flash. More fun.</strong><br>From the moment you capture a photo to your final edit, iPhone 8 makes it even easier to create spectacular shots. And next-generation HEIF compression technology lets you take new photos with the same quality as before at half the file size. So snap away.<br><br><strong>Videos that belong on the big screen.</strong><br>Whether you’re a proud parent, a film student or a working director, iPhone 8 lets you shoot phenomenal movies. An Apple-designed video encoder performs real-time image processing for optimal quality. And with HEVC compression, you’ll get the same video quality as before at half the file size.<br>• 4K video up to 60 fps<br>• Slo-mo 1080p up to 240 fps<br>• Time-lapse video<br><br><strong>Steadier videos.</strong><br>Advanced video stabilisation uses a new, larger sensor and the powerful ISP to stabilise everything you’re shooting. And optical image stabilisation is designed to reduce motion blur and handshake in low-light videos. So your movies look steady even if your hand isn’t.<br><br><strong>A11 Bionic</strong><br>Can you create a chip that’s both powerful and intelligent? For iPhone 8 and iPhone X, Apple did. Meet A11 Bionic, the most powerful and smartest chip ever in an iPhone.<br><br><strong>Engineered for efficiency.</strong><br>A11 Bionic manages its enormous power intelligently by directing tasks between the performance and efficiency cores. So the things you do most often — like texting and browsing the web — happen quickly while using less energy.<br><br><strong>Most advanced mobile operating system yet.</strong><br>iOS brings iPhone to life in incredibly personal and powerful ways. The interface is beautiful and easy to use. Intelligent suggestions appear just when you need them. And advanced technologies protect your privacy and security. Once you’ve experienced iOS, you’ll understand why so many people love using iPhone.<br><br><br><em>*Wireless charger not included.</em>","iPhone 8 introduces an all-new glass design. The world’s most popular camera, now even better. The smartest, most powerful chip ever in an iPhone. Wireless charging that’s truly effortless.* And augmented reality experiences never before possible. iPhone 8. A new generation of iPhone.

More info",0.202,1,Taxable Goods,"Catalog, Search",749.99,599.99,5/10/20,,,Smartphone Apple iPhone 8 Plus (64 GB),"smartphone,cell phone,phone,smart cell phone,smart phone",Smartphone Apple iPhone 8 Plus (64 GB),172639-iphone8-plus-silver-1-medium.jpg,Smartphone Apple iPhone 8 Plus (64 GB),172639-iphone8-plus-silver-1-medium.jpg,Smartphone Apple iPhone 8 Plus (64 GB),172639-iphone8-plus-silver-1-medium.jpg,Smartphone Apple iPhone 8 Plus (64 GB),,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,"color=silver,manufacturer=Apple",5,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"172639-iphone8-plus-silver-1-medium.jpg,172640-iphone8-plus-silver-2-medium.jpg",Smartphone Apple iPhone 8 Plus (64 GB) silver MQ8M2ET/A,,,,,,,,,,,,,
25224,,Default,simple,Default Category/Smartphones/Xiaomi,base,Smartphone Xiaomi Mi 9 Lite (64 GB) onyx grey 25224,,"• 48MP AI triple camera
• 32MP AI selﬁe camera
• 6.39” AMOLED FHD+ Dot Drop display
• In-screen ﬁngerprint sensor
• 4030mAh high-capacity battery
• 18W fast charge
• Qualcomm® Snapdragon™ 710
• Supports multifunctional NFC",0.179,1,Taxable Goods,"Catalog, Search",299.99,279.99,5/10/20,,,Smartphone Xiaomi Mi 9 Lite (64 GB),"smartphone,cell phone,phone,smart cell phone,smart phone",Smartphone Xiaomi Mi 9 Lite (64 GB),241272-363772-medium.jpg,Smartphone Xiaomi Mi 9 Lite (64 GB),241272-363772-medium.jpg,Smartphone Xiaomi Mi 9 Lite (64 GB),241272-363772-medium.jpg,Smartphone Xiaomi Mi 9 Lite (64 GB),,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,"color=onyx grey,manufacturer=Xiaomi",5,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"241272-363772-medium.jpg,241273-363774-medium.jpg,241274-363776-medium.jpg,241275-363778-medium.jpg,241276-363780-medium.jpg,241277-363782-medium.jpg,241278-363784-medium.jpg",Smartphone Xiaomi Mi 9 Lite (64 GB) onyx grey 25224,,,,,,,,,,,,,
SM-A715FZBUSEB,,Default,simple,Default Category/Smartphones/Samsung,base,Smartphone Samsung Galaxy A71 blue SM-A715FZBUSEB,,"• 6.7'' Full HD+ Super AMOLED screen
• 5 lens camera system
• 6 GB RAM, 128 GB internal memory
• 4500 mAh battery
• 25W Super-Fast charger
• Dual SIM
• In-screen fingerprint reader and facial recognition",0.172,1,Taxable Goods,"Catalog, Search",479.99,449.99,5/10/20,,,Smartphone Samsung Galaxy A71,"smartphone,cell phone,phone,smart cell phone,smart phone",Smartphone Samsung Galaxy A71,242964-370947-medium.jpg,Smartphone Samsung Galaxy A71,242964-370947-medium.jpg,Smartphone Samsung Galaxy A71,242964-370947-medium.jpg,Smartphone Samsung Galaxy A71,,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,"color=blue,manufacturer=Samsung",5,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"242964-370947-medium.jpg,242965-370949-medium.jpg,242966-370951-medium.jpg,242967-370953-medium.jpg",Smartphone Samsung Galaxy A71 blue SM-A715FZBUSEB,,,,,,,,,,,,,
MWC22ET/A,,Default,simple,Default Category/Smartphones/Apple,base,Smartphone Apple iPhone 11 Pro (64 GB) space grey MWC22ET/A,<strong>Pro camera system</strong>,"And then there was Pro.
A transformative triple‑camera system that adds tons of capability without complexity. An unprecedented leap in battery life. And a mind‑blowing chip that doubles down on machine learning and pushes the boundaries of what a smartphone can do. Welcome to the first iPhone powerful enough to be called Pro.• Stainless steel and glass design
• Pro camera system
• The first triple‑camera system
• 4K video
• Pro display Super Retina XDR
• Water resistant up to 2 meters
• Wireless Charging and All-day battery life

More info",0.188,1,Taxable Goods,"Catalog, Search",1169,,,,,Smartphone Apple iPhone 11 Pro (64 GB),"smartphone,cell phone,phone,smart cell phone,smart phone",Smartphone Apple iPhone 11 Pro (64 GB),232262-353960-medium.jpg,Smartphone Apple iPhone 11 Pro (64 GB),232262-353960-medium.jpg,Smartphone Apple iPhone 11 Pro (64 GB),232262-353960-medium.jpg,Smartphone Apple iPhone 11 Pro (64 GB),,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,"color=space grey,manufacturer=Apple",5,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"232262-353960-medium.jpg,232263-353962-medium.jpg",Smartphone Apple iPhone 11 Pro (64 GB) space grey MWC22ET/A,,,,,,,,,,,,,
MT9N2ET/A,,Default,simple,Default Category/Smartphones/Apple,base,Smartphone Apple iPhone XS (512 GB) gold MT9N2ET/A,<strong>Super&nbsp;Retina. In big and&nbsp;bigger.</strong>,"Smartphone iPhone XS 512 GB / MT9N2ET/ASuper Retina in two sizes — including the largest display ever on an iPhone. Even faster Face ID. The smartest, most powerful chip in a smartphone. And a breakthrough dual-camera system. iPhone XS is everything you love about iPhone. Taken to the extreme.

More info",0.177,1,Taxable Goods,"Catalog, Search",1569,999.99,5/10/20,,,Smartphone Apple iPhone XS (512 GB),"smartphone,cell phone,phone,smart cell phone,smart phone",Smartphone Apple iPhone XS (512 GB),200991-apple-ip-xs-gold-1-medium.jpg,Smartphone Apple iPhone XS (512 GB),200991-apple-ip-xs-gold-1-medium.jpg,Smartphone Apple iPhone XS (512 GB),200991-apple-ip-xs-gold-1-medium.jpg,Smartphone Apple iPhone XS (512 GB),,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,"color=gold,manufacturer=Apple",5,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"200991-apple-ip-xs-gold-1-medium.jpg,200992-apple-ip-xs-gold-2-medium.jpg,200993-apple-ip-xs-gold-3-medium.jpg",Smartphone Apple iPhone XS (512 GB) gold MT9N2ET/A,,,,,,,,,,,,,
MT9M2ET/A,,Default,simple,Default Category/Smartphones/Apple,base,Smartphone Apple iPhone XS (512 GB) silver MT9M2ET/A,<strong>Super&nbsp;Retina. In big and&nbsp;bigger.</strong>,"Smartphone iPhone XS 512 GB / MT9M2ET/ASuper Retina in two sizes — including the largest display ever on an iPhone. Even faster Face ID. The smartest, most powerful chip in a smartphone. And a breakthrough dual-camera system. iPhone XS is everything you love about iPhone. Taken to the extreme.

More info",0.177,1,Taxable Goods,"Catalog, Search",1569,999.99,5/10/20,,,Smartphone Apple iPhone XS (512 GB),"smartphone,cell phone,phone,smart cell phone,smart phone",Smartphone Apple iPhone XS (512 GB),200985-apple-ip-xs-silver-1-medium.jpg,Smartphone Apple iPhone XS (512 GB),200985-apple-ip-xs-silver-1-medium.jpg,Smartphone Apple iPhone XS (512 GB),200985-apple-ip-xs-silver-1-medium.jpg,Smartphone Apple iPhone XS (512 GB),,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,"color=silver,manufacturer=Apple",5,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"200985-apple-ip-xs-silver-1-medium.jpg,200986-apple-ip-xs-silver-2-medium.jpg,200987-apple-ip-xs-silver-3-medium.jpg",Smartphone Apple iPhone XS (512 GB) silver MT9M2ET/A,,,,,,,,,,,,,
MT562ET/A,,Default,simple,Default Category/Smartphones/Apple,base,Smartphone Apple iPhone XS Max (512 GB) space grey MT562ET/A,<strong>Super&nbsp;Retina. In big and&nbsp;bigger.</strong>,"Smartphone Apple iPhone XS Max 512 GB / MT562ET/ASuper Retina in two sizes — including the largest display ever on an iPhone. Even faster Face ID. The smartest, most powerful chip in a smartphone. And a breakthrough dual-camera system. iPhone XS is everything you love about iPhone. Taken to the extreme.

More info",0.208,1,Taxable Goods,"Catalog, Search",1669,1199,5/10/20,,,Smartphone Apple iPhone XS Max (512 GB),"smartphone,cell phone,phone,smart cell phone,smart phone",Smartphone Apple iPhone XS Max (512 GB),201008-apple-ip-xsmax-spgrey-1-medium.jpg,Smartphone Apple iPhone XS Max (512 GB),201008-apple-ip-xsmax-spgrey-1-medium.jpg,Smartphone Apple iPhone XS Max (512 GB),201008-apple-ip-xsmax-spgrey-1-medium.jpg,Smartphone Apple iPhone XS Max (512 GB),,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,"color=space grey,manufacturer=Apple",5,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"201008-apple-ip-xsmax-spgrey-1-medium.jpg,201009-apple-ip-xsmax-spgrey-2-medium.jpg,201010-apple-ip-xsmax-spgrey-3-medium.jpg",Smartphone Apple iPhone XS Max (512 GB) space grey MT562ET/A,,,,,,,,,,,,,
MWM32ET/A,,Default,simple,Default Category/Smartphones/Apple,base,Smartphone Apple iPhone 11 (128 GB) (product) red MWM32ET/A,<strong>It just got a whole lot harder to take a bad photo.</strong>,"Just the right amount of everything.
A new dual‑camera system captures more of what you see and love. The fastest chip ever in a smartphone and all‑day battery life let you do more and charge less. And the highest‑quality video in a smartphone, so your memories look better than ever.• All-day battery life
• Wireless Charging
• Charge your battery to up to 50% in just 30 minutes with an 18W charger
• Water resistant up to 2 meters
• All‑new dual‑camera system - 12MP Wide and 12MP Ultra Wide camera

More info",0.194,1,Taxable Goods,"Catalog, Search",869.99,,,,,Smartphone Apple iPhone 11 (128 GB),"smartphone,cell phone,phone,smart cell phone,smart phone",Smartphone Apple iPhone 11 (128 GB),232306-354047-medium.jpg,Smartphone Apple iPhone 11 (128 GB),232306-354047-medium.jpg,Smartphone Apple iPhone 11 (128 GB),232306-354047-medium.jpg,Smartphone Apple iPhone 11 (128 GB),,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,"color=(product) red,manufacturer=Apple",5,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,Smartphone Apple iPhone 11 (128 GB) (product) red MWM32ET/A,,,,,,,,,,,,,
25978,,Default,simple,Default Category/Smartphones/Xiaomi,base,Smartphone Xiaomi Redmi Note 8 Pro (128 GB) blue 25978,,"• 6.53” FHD+ Dot Drop display
• 6 GB RAM, 128 GB storage
• 64MP quad camera
• 4500mAh battery
• NFC technology
• 18W fast charge
• Wi-Fi X antenna
• Corning® Gorilla® Glass 5 front and rear",0.199,1,Taxable Goods,"Catalog, Search",299.99,239.99,5/10/20,,,Smartphone Xiaomi Redmi Note 8 Pro (128 GB),"smartphone,cell phone,phone,smart cell phone,smart phone",Smartphone Xiaomi Redmi Note 8 Pro (128 GB),243662-372112-medium.jpg,Smartphone Xiaomi Redmi Note 8 Pro (128 GB),243662-372112-medium.jpg,Smartphone Xiaomi Redmi Note 8 Pro (128 GB),243662-372112-medium.jpg,Smartphone Xiaomi Redmi Note 8 Pro (128 GB),,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,"color=blue,manufacturer=Xiaomi",5,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"243662-372112-medium.jpg,243663-372114-medium.jpg,243664-372116-medium.jpg",Smartphone Xiaomi Redmi Note 8 Pro (128 GB) blue 25978,,,,,,,,,,,,,
