sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
SM-R825FZDASEB,,Default,simple,Default Category/Watches/Samsung,base,Smartwatch Samsung Galaxy Watch Active 2 LTE aluminium (44 mm) rose SM-R825FZDASEB,,"Introducing Galaxy Watch Active2

The Samsung Galaxy Watch Active2 is designed to help you learn more so you can achieve more. It goes beyond tracking steps and calories to offer actionable insights on everything from your running style to your heart rate.",0.042,1,Taxable Goods,"Catalog, Search",369.99,349.99,5/11/20,,,Smartwatch Samsung Galaxy Watch Active 2 LTE aluminium (44 mm),"smartphone,cell phone,phone,smart cell phone,smart phone",Smartwatch Samsung Galaxy Watch Active 2 LTE aluminium (44 mm),245216-374286-medium.jpg,Smartwatch Samsung Galaxy Watch Active 2 LTE aluminium (44 mm),245216-374286-medium.jpg,Smartwatch Samsung Galaxy Watch Active 2 LTE aluminium (44 mm),245216-374286-medium.jpg,Smartwatch Samsung Galaxy Watch Active 2 LTE aluminium (44 mm),,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,"color=rose,manufacturer=Samsung",5,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"245216-374286-medium.jpg,245217-374288-medium.jpg,245218-374290-medium.jpg,245219-374292-medium.jpg,245220-374294-medium.jpg,245221-374296-medium.jpg",Smartwatch Samsung Galaxy Watch Active 2 LTE aluminium (44 mm) rose SM-R825FZDASEB,,,,,,,,,,,,,
010-01909-10,,Default,simple,Default Category/Watches/Garmin,base,Smartwatch Garmin Vivofit jr. 2 childrens activity tracker multicoloured 010-01909-10,"<strong>Stylish and Strong</strong><br>Tough and durable, vívofit jr. 2 features a customizable color screen and comfortable band. Your kid can show their Minnie Mouse style and rock it everywhere from recess to soccer, during bath time and even to bed. The user-replaceable battery will keep kicking for more than a year — no charging necessary.<br><br><strong>Advance in Mickey’s Birthday Surprise: A Disney Adventure</strong><br>Every day, kids unfold new adventures in the app as they reach their daily 60-minute activity goals, inspiring them to do their best. With you as their helper, your little character goes alongside Minnie Mouse and her friends in adventures as they plan a surprise birthday party for Mickey Mouse. Decorate for the party with Daisy Duck, whip up the birthday cake with Goofy, and get everything ready — but make sure Mickey Mouse doesn’t find out!<br><br><strong>The Parental Personal Assistant</strong><br>Parents use the free mobile app to manage the vívofit jr. 2 activity tracker. Parents can view activity¹, responsibilities, sleep and more after syncing² with compatible Apple®, Android™ and Amazon Fire Tablet devices. From the app, add profiles for multiple kids to see each child’s steps, sleep, daily activities and chore data when it syncs³ to your mobile device. Invite the whole family to compete in a daily step challenge, assign tasks and chores, designate a reward virtual coin value, and find out how many coins each child has. Those in-app coins can be redeemed by your kiddos for agreed-upon rewards. It’s all controlled right from your device.<br><br><strong>Rewards, Reminders and Responsibilities</strong><br>Kids will see just how fun and rewarding household chores can be. With vívofit jr. 2, parents assign chores and schedule alerts from the smartphone app, and kids’ bands show them their new jobs to do. These can be set up to recur weekly or even daily — perfect for children who need reminders. And for youngsters who procrastinate, schedule alerts in the parent app so vívofit jr. 2 reminds them to finish their homework, brush their teeth and more. The alert will remind them with an icon what they’re supposed to be doing. Then, the child can start the task timer on the device so they know how long they have left.<br><br><strong>Friendly Step Challenges</strong><br>Friendly competition comes to the playground and the backyard. Toe-to-Toe™ step challenges lets kids lets kids sync with nearby friends to challenge each other (one-on-one challenge) — or even themselves — to timed step competitions. Once complete, they’ll see their total number of steps during the challenge and find out if they triumphed over their friends or beat their own personal best. It’s all controlled right from the wrist. Download the Connect IQ™ app to a compatible device to challenge your kids to a step competition.<br><br><strong>Access Even More Fun</strong><br>vívofit jr. 2 lets your kids get their hands on more styles and app adventures. All you need is a new band to open up a new world of adventures. What’ll it be next? Track activity, and engage in galactic app adventures with a Star Wars themed band? Or will your kids show off their Marvel Avengers band, and join in app adventures that let them save the day like a true hero? It’s up to your kid.","The magic is all around when the Disney Minnie Mouse vívofit jr. 2 is on your kid’s wrist. This swim-friendly activity tracker is tough enough to make it through playtime, and with 1+ year battery life, there’s no stopping the action to recharge. Parents manage chores and rewards from the parent-controlled mobile app, while kids experience app adventures starring Mickey Mouse and Minnie Mouse and all their pals.

More info",0.045,1,Taxable Goods,"Catalog, Search",89.99,,,,,Smartwatch Garmin Vivofit jr. 2 childrens activity tracker,"smartphone,cell phone,phone,smart cell phone,smart phone",Smartwatch Garmin Vivofit jr. 2 childrens activity tracker,186454-1-medium.jpg,Smartwatch Garmin Vivofit jr. 2 childrens activity tracker,186454-1-medium.jpg,Smartwatch Garmin Vivofit jr. 2 childrens activity tracker,186454-1-medium.jpg,Smartwatch Garmin Vivofit jr. 2 childrens activity tracker,,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,"color=multicoloured,manufacturer=Garmin",5,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"186454-1-medium.jpg,186455-2-medium.jpg,186456-3-medium.jpg,186457-4-medium.jpg,186458-5-medium.jpg,186459-6-medium.jpg,186460-7-medium.jpg",Smartwatch Garmin Vivofit jr. 2 childrens activity tracker multicoloured 010-01909-10,,,,,,,,,,,,,
HJ-321-E,,Default,simple,Default Category/Watches/Omron,base,Step-counter Omron Walking style One 2.1 black HJ-321-E,,"Using 3D sensing technology, the Walking style One 2.1 makes it simple to accurately keep track of your daily step count because it can be carried in your pocket, bag or even on your belt. The Walking style One 2.1 will also track the calories you’ve burned along the way and can even be used when doing a more intense workout.

• Calories Burned
• Memory
• Distance
• Clock
• Daily steps",0.045,1,Taxable Goods,"Catalog, Search",23.99,,,,,Step-counter Omron Walking style One 2.1,"smartphone,cell phone,phone,smart cell phone,smart phone",Step-counter Omron Walking style One 2.1,68483-1b55035cbc4a889d9564079ffb1fda9e-normal-medium.jpg,Step-counter Omron Walking style One 2.1,68483-1b55035cbc4a889d9564079ffb1fda9e-normal-medium.jpg,Step-counter Omron Walking style One 2.1,68483-1b55035cbc4a889d9564079ffb1fda9e-normal-medium.jpg,Step-counter Omron Walking style One 2.1,,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,"color=black,manufacturer=Omron",5,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,Step-counter Omron Walking style One 2.1 black HJ-321-E,,,,,,,,,,,,,
FB503WTGY-EU,,Default,simple,Default Category/Watches/Fitbit,base,Activity-tracker Fitbit Ionic blue-gray/white FB503WTGY-EU,"<strong>It’s a watch that gets to know you</strong><br>Exercise routines adapt based on your feedback so you’re always getting the right workout for your fitness level.<br><br><strong>With personalised recommendations</strong><br>Get recommended workouts based on your recent activity – like yoga after a big run or a more intense session after a restful night.<br><br><strong>Built - in GPS &amp; multi-sport modes</strong><br>Multi-sport modes let you track specific workouts like weights, runs and rides. In Bike, Run or Hike mode, use built-in GPS to see pace, distance and other key stats on display.<br>When you’ve finished, you’ll get a complete performance summary that shows elevation climbed, split times and a map of your route.<br><br><strong>Reaches more satellites, more accurately</strong><br>onic uses GLONASS to tap into global satellites, so no matter where you are – in the middle of a city, the mountains or nowhere – you get the best stats.<br><br><strong>Get credit for every workout</strong><br>Whether you’re on the elliptical, out for a jog or doing sports like basketball or tennis, SmartTrack™ automatically recognises your exercise and records it for you in the Fitbit app.<br><br><strong>Purepulse heart rate</strong><br>During workouts, check your real-time heart rate zone to see whether you’re in the Fat Burn, Cardio or Peak zone to optimise your intensity and dial in your effort.<br><br><strong>Get important notifications</strong><br>Stay connected to what matters most with texts, calls and calendar alerts and notifications from apps like Facebook and Gmail.<br><br><strong>Customisable clock faces</strong><br>With unique designs that range from sleek and understated to fun and fitness-focused, there’s an Ionic clock face that fits your style.<br><br><strong>Works with more smartphones</strong><br>Ionic automatically syncs to computers and more than 200 Android, iPhone and Windows devices over Bluetooth – so you can easily see the complete picture of your health on your Fitbit dashboard.","Activity tracker Fitbit Ionic / FB503WTGY-EUGet real-time guidance to reach your goalsDesigned to give you more guidance than ever, Ionic serves up personalised workouts that play on screen and guide you through every move.

More info",0.045,1,Taxable Goods,"Catalog, Search",299.99,,,,,Activity-tracker Fitbit Ionic,"smartphone,cell phone,phone,smart cell phone,smart phone",Activity-tracker Fitbit Ionic,183819-1-medium.jpg,Activity-tracker Fitbit Ionic,183819-1-medium.jpg,Activity-tracker Fitbit Ionic,183819-1-medium.jpg,Activity-tracker Fitbit Ionic,,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,"color=blue-gray/white,manufacturer=Fitbit",5,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"183819-1-medium.jpg,183820-2-medium.jpg,183821-3-medium.jpg,183822-4-medium.jpg,183823-5-medium.jpg,183824-6-medium.jpg,183825-7-medium.jpg",Activity-tracker Fitbit Ionic blue-gray/white FB503WTGY-EU,,,,,,,,,,,,,
010-02172-13,,Default,simple,Default Category/Watches/Garmin,base,GPS-watch Garmin Vivoactive 4S black 010-02172-13,,"Smaller-sized GPS smartwatch built for the active lifestyle

• Keep an eye on your health 24/7 with Pulse Ox1 and Body Battery™ energy monitor features and by tracking your respiration, menstrual cycle, stress, sleep, heart rate, hydration and more
• Easily download songs to your watch, including playlists from your Spotify®, Amazon Music or Deezer account, and connect with headphones (sold separately) for phone-free listening
• Record all the ways to move with more than 20 preloaded GPS and indoor sports apps, including yoga, running, swimming and more
• Get easy-to-follow, animated workouts right on your watch screen, including strength, cardio, yoga and Pilates
• Battery life: up to 7 days in smartwatch mode; up to 5 hours in GPS and music mode",0.04,1,Taxable Goods,"Catalog, Search",299.99,,,,,GPS-watch Garmin Vivoactive 4S,"smartphone,cell phone,phone,smart cell phone,smart phone",GPS-watch Garmin Vivoactive 4S,241676-369168-medium.jpg,GPS-watch Garmin Vivoactive 4S,241676-369168-medium.jpg,GPS-watch Garmin Vivoactive 4S,241676-369168-medium.jpg,GPS-watch Garmin Vivoactive 4S,,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,"color=black,manufacturer=Garmin",5,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"241676-369168-medium.jpg,241677-369170-medium.jpg,241678-369172-medium.jpg,241679-369174-medium.jpg,241680-369176-medium.jpg,241681-369178-medium.jpg",GPS-watch Garmin Vivoactive 4S black 010-02172-13,,,,,,,,,,,,,
IGNITEBLK/COP,,Default,simple,Default Category/Watches/Polar,base,Smartwatch Polar Heart rate monitor Ignite (M/L) black/copper IGNITEBLK/COP,"<strong>MEET YOUR ALL-IN-ONE TRAINING BUDDY</strong><br>Polar Ignite is a versatile workout partner that takes care of the planning for you.<br><br><strong>WORK OUT WITHOUT BURNOUT</strong><br>The FitSpark™ training guide offers ready-made daily on-demand workouts that match your recovery, fitness level and training history. No more stress about finding the right workout – let FitSpark do the planning for you.<br>FitSpark offers you different types of workouts to choose from every day. The workouts are easily available on your sports watch.<br>FitSpark workouts are optimized to match your recovery, fitness level and training history.<br>Your watch guides you through each session so you can focus on the best part: the joy of working out.<br><br><strong>GET MORE OUT OF YOUR FITNESS CLASS</strong><br>Take your group exercise experience to the next level – track your heart rate, find out how many calories you burned and see a summary of your workout afterwards.<br><br><strong>TRACK YOUR RUNS, WALKS AND RIDES</strong><br>Polar Ignite is a great training partner for running, cycling and other outdoor workouts: the integrated GPS tracks your speed, distance and route.<br><br><strong>DISCOVER THE ULTIMATE TRAINING PLATFORM</strong><br>Polar Flow is the online window to your training, activity and sleep. It works seamlessly with your Polar product and helps you track your training, analyze your progress and achieve more. Available on desktop and mobile.<br>Plan individual workouts or create a personalized training plan, sync it all to your Polar product and train smarter with live guidance.<br>Choose from over 100 sports and add your favorite sport profiles to your Polar sports watch in Polar Flow. You can add up to 20 sport profiles to your sports watch and customize individual settings for each.<br>For example, you can define individual heart rate, speed or power zones and choose what data you want to see on your watch face while you train.<br>Using the right sport profile helps you keep your training log in Polar Flow up to date. You’ll also get sport-specific feedback.<br><br><strong>PLAN YOUR TRAINING</strong><br>With Polar Flow you can conveniently plan your workouts by creating training targets. Sync your training target to your Polar product for training guidance. You can choose from several training target types, such as Quick targets or Phased targets.<br>Quick targets are an easy way to create guided sessions. Set specific training targets – like 'run 5 miles' or 'burn 400 kcal' – and let your Polar product guide you through the workout.<br>With phased targets you can split your training session into phases and create a different target duration or distance and intensity for each of them. Use a phased target for creating an interval training session or adding a proper warmup and cool down phases to your session.<br><br><strong>ANALYZE YOUR PROGRESS</strong><br>Get personalized feedback about your workouts, overall activity and sleep. Analyze on the go with the Flow app and in-depth in the Flow web service.<br><br><strong>AUTOMATIC TRAINING DIARY</strong><br>Get to the heart of your performance with the extensive training analysis tools. With Polar Flow, you'll get a detailed analysis on everything you have accomplished - single training sessions, test results, activity, sleep and even recovery data.<br>With reports you can keep track of your training progress and trends over a longer period of time. You can also export training and R-R recording sample data for further analysis.<br><br><strong>KNOW HOW YOU TRAIN AND RECOVER</strong><br>If you want to train like a pro, you need to recover like a pro. With Polar Flow and Polar sports watches and fitness trackers you get data that helps you find the right balance between training and rest and stay injury-free with a uniquely holistic activity, sleep and training load and recovery tracking solution.<br><br><strong>THE ULTIMATE TRAINING PLATFORM</strong><br>When you choose Polar, you get access to the full Polar ecosystem where everything is connected. Whether you do a workout with the free POLAR BEAT fitness app or take a group exercise class at your gym with POLAR CLUB, your training data will be easily available in Polar Flow.","Polar Ignite is a waterproof fitness watch with advanced wrist-based heart rate and integrated GPS. This new-generation workout partner helps you become your true potential and push your limits the right way. Polar Ignite offers you a full view of your day and guidance towards a more balanced life.

More info",0.035,1,Taxable Goods,"Catalog, Search",219.99,,,,,Smartwatch Polar Heart rate monitor Ignite (M/L),"smartphone,cell phone,phone,smart cell phone,smart phone",Smartwatch Polar Heart rate monitor Ignite (M/L),237692-363342-medium.jpg,Smartwatch Polar Heart rate monitor Ignite (M/L),237692-363342-medium.jpg,Smartwatch Polar Heart rate monitor Ignite (M/L),237692-363342-medium.jpg,Smartwatch Polar Heart rate monitor Ignite (M/L),,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,"color=black/copper,manufacturer=Polar",5,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,237692-363342-medium.jpg,Smartwatch Polar Heart rate monitor Ignite (M/L) black/copper IGNITEBLK/COP,,,,,,,,,,,,,
SM-R805FZSASEB,,Default,simple,Default Category/Watches/Samsung,base,Smartwatch Samsung Galaxy LTE (46 mm) silver SM-R805FZSASEB,,"Stay connected longer

Stay connected longer. The features of a smartwatch and the natural feeling of an analog watch in a single package. Galaxy Watch links you to the world around 
you.",0.063,1,Taxable Goods,"Catalog, Search",399.99,309.99,5/11/20,,,Smartwatch Samsung Galaxy LTE (46 mm),"smartphone,cell phone,phone,smart cell phone,smart phone",Smartwatch Samsung Galaxy LTE (46 mm),200002-1-%281%29-medium.jpg,Smartwatch Samsung Galaxy LTE (46 mm),200002-1-%281%29-medium.jpg,Smartwatch Samsung Galaxy LTE (46 mm),200002-1-%281%29-medium.jpg,Smartwatch Samsung Galaxy LTE (46 mm),,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,"color=silver,manufacturer=Samsung",5,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"200002-1-%281%29-medium.jpg,200003-2-%281%29-medium.jpg,200004-3-%281%29-medium.jpg,200005-4-%281%29-medium.jpg,200006-5-%281%29-medium.jpg,200007-6-%281%29-medium.jpg",Smartwatch Samsung Galaxy LTE (46 mm) silver SM-R805FZSASEB,,,,,,,,,,,,,
SS050020000,,Default,simple,Default Category/Watches/Suunto,base,Smartwatch Suunto 3 Fitness black SS050020000,"<strong>ADAPTIVE TRAINING GUIDANCE</strong><br>The adaptive training guidance comes in three different modes*. Choose the one that best matches your goal: maintain your current fitness level, improve it moderately (default mode), or boost your fitness with a more intensive plan. Whichever mode you choose, Suunto 3 Fitness creates you a 7-day training plan with optimal duration and intensity for each exercise.<br>The training plan is automatically adapted to your actual activities, so if you miss an exercise, or get excited and do a little more than planned, you don’t need to stress about updating it manually.<br>The planned exercises are easy to activate, and once started, the watch guides you to stay at the right intensity.<br><br><strong>READY FOR ALL YOUR SPORTS</strong><br>Suunto 3 Fitness is ready for all your sports from running, swimming and cycling, to gym training, hiking and many more. The watch uses wrist-based cadence for measuring speed and distance in walking and running activities, which means that you can track speed and distance also indoors.<br>Wrist heart rate measurement ensures ease-of-use, and 30-meter water resistance means you can take the watch for a swim without a worry. <br><br><strong>BALANCE ACTIVITY AND REST</strong><br>Suunto 3 Fitness automatically counts your daily steps and calories. But to balance activity, a good night’s sleep is essential. Wear Suunto 3 Fitness at night to track your sleep too. In the sleep summary you’ll see how long you slept, and how well your sleep supports recovery.<br>Additionally, the watch measures your stress and recovery throughout the day to help you ensure you have enough in the tank to make it through the day.","THE BEAUTIFULLY ROBUST FITNESS WATCH

Suunto 3 Fitness is a beautifully robust fitness watch with smart features, designed for you who leads an active lifestyle and values health and well-being. The watch creates for you a personal training plan that adapts to your fitness needs. You’ll get real-time guidance while exercising to help you at the right intensity. 24/7 activity tracking with steps, calories and sleep, together with stress and recovery monitoring, provide a holistic view of your day and help you to maintain a healthy balance between activity and rest.

More info",0.036,1,Taxable Goods,"Catalog, Search",229.99,179.99,5/11/20,,,Smartwatch Suunto 3 Fitness,"smartphone,cell phone,phone,smart cell phone,smart phone",Smartwatch Suunto 3 Fitness,213566-1-medium.jpg,Smartwatch Suunto 3 Fitness,213566-1-medium.jpg,Smartwatch Suunto 3 Fitness,213566-1-medium.jpg,Smartwatch Suunto 3 Fitness,,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,"color=black,manufacturer=Suunto",5,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"213566-1-medium.jpg,213567-2-medium.jpg,213568-3-medium.jpg,213569-4-medium.jpg,213570-5-medium.jpg,213571-6-medium.jpg,213572-7-medium.jpg,213573-8-medium.jpg,213574-9-medium.jpg",Smartwatch Suunto 3 Fitness black SS050020000,,,,,,,,,,,,,
55024474,,Default,simple,Default Category/Watches/Huawei,base,Smartwatch Huawei Watch GT 2 Latona (46 mm) black 55024474,"<strong>Revolutionary Power Solution</strong><br>HUAWEI WATCH GT series is always exploring the limits of smart watch battery life. With HUAWEI's self-developed wearable chip Kirin A1, the dual-chip design and intelligent power saving technology, it serves you day and night for up to 2 weeks.<br><br><strong>Minimalistic Aesthetic Design</strong><br>Inspired by the aesthetic design of minimalism, HUAWEI WATCH GT 2 integrates a high quality 3D glass face to create the bezel-less vision. The fine craftsmanship is captured in the details of the watch case and its classic design style.<br><br><strong>Professional Sports Trainer</strong><br>A new breakthrough in personal training. The HUAWEI WATCH GT 2 tracks your workouts with precise positioning systems and monitors your heart rate with the accurate TruSeen™ 3.5. It is the professional companion for your indoor and outdoor activities.<br><br><strong>Your Everyday Life Assistant</strong><br>To make your everyday life easier, HUAWEI WATCH GT 2 supports features like Bluetooth calling2, in-device Music3, Message Notification, TruSleep™ 2.0 sleep tracking and TruRelax™ pressure monitoring.4 Live an efficient life with the WATCH designed for you.","Leading the design and craftsmanship of smartwatch with the 3D curved bezel-less watch face of HUAWEI WATCH GT 2, the watch reveals the unique attitude of combining the tribute to classic and the innovation of style.
Adopting the 3D glass screen in a smartwatch is a new step in the industry. The high quality glass that carved by gemstone processing technology makes it durable and resistant to water and dust.

More info",0.041,1,Taxable Goods,"Catalog, Search",239.99,,,,,Smartwatch Huawei Watch GT 2 Latona (46 mm),"smartphone,cell phone,phone,smart cell phone,smart phone",Smartwatch Huawei Watch GT 2 Latona (46 mm),242743-370626-medium.jpg,Smartwatch Huawei Watch GT 2 Latona (46 mm),242743-370626-medium.jpg,Smartwatch Huawei Watch GT 2 Latona (46 mm),242743-370626-medium.jpg,Smartwatch Huawei Watch GT 2 Latona (46 mm),,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,"color=black,manufacturer=Huawei",5,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"242743-370626-medium.jpg,242744-370628-medium.jpg,242745-370630-medium.jpg,242746-370632-medium.jpg,242747-370634-medium.jpg",Smartwatch Huawei Watch GT 2 Latona (46 mm) black 55024474,,,,,,,,,,,,,
010-02173-03,,Default,simple,Default Category/Watches/Garmin,base,GPS-watch Garmin Venu silver/dark blue 010-02173-03,"<strong>A World of Health</strong><br>When we say broadest available range of all-day health monitoring features, we mean it.<br><br><strong>Body Battery™ Energy Monitoring</strong><br>See your body’s energy levels throughout the day, so you can find the best times for activity and rest.<br><br><strong>Respiration Tracking</strong><br>See how you’re breathing throughout the day, during sleep and during breathwork and yoga activities.<br><br><strong>Pulse Ox Sensor</strong><br>The Pulse Ox sensor gauges your blood oxygen saturation during the day and as you sleep to show how well your body is absorbing oxygen.<br><br><strong>Advanced Sleep Monitoring</strong><br>Get a full picture of how you’re sleeping with a breakdown of your light, deep and REM sleep stages as well as Pulse Ox and respiration data.<br><br><strong>Menstrual Cycle Tracking</strong><br>The Garmin Connect™ app lets you track your cycle, log physical and emotional symptoms and learn about training and nutrition during each phase of your cycle. Get cycle tracking information right on your wrist. You’ll be able to see period reminders, cycle details and symptoms logged for the day.<br><br><strong>Stress Tracking</strong><br>See if you’re having a calm, balanced or stressful day. Relax reminders will even prompt you to do a short breathing activity.<br><br><strong>Hydration Tracking</strong><br>Staying hydrated is important for your well-being. Log your daily water intake to help you stay hydrated and see how consistent you are from day to day.<br><br><strong>Wrist-based Heart Rate</strong><br>The watch constantly samples your heart rate and will alert you if it stays high while you’re at rest. It also helps gauge how hard you work during activities.<br><br><strong>Made for Every Experience</strong><br>From interchangeable bands to durable Corning® Gorilla® Glass 3, this smartwatch was made to be worn 24/7. Keep it on when you hit the water, since it is water-rated to 5 ATM. The beautiful AMOLED display makes your watch come alive and is easy to see in any lighting.<br><br><strong>A World of Fitness</strong><br>No more hunting down videos or trainers for workout demonstrations. This watch features easy-to-follow, animated cardio, strength, yoga and Pilates workouts you can view on the watch screen. Choose from preloaded animated workouts, or download more from Garmin Connect™ online community.<br><br><strong>A World of Movement</strong><br>With more than 20 preloaded GPS and indoor sports apps — including walking, running, cycling, pool swimming, golf and more — this watch can help you track all the ways you move. You can even create custom workouts in the Garmin Connect app.<br><br><strong>Breathe It In</strong><br>This beautiful watch offers a variety of new mindful breathing techniques. When you want to relax or focus, you can start a breathing activity, and this watch will track your stress and respiration to help you get a better understanding of how you’re breathing.<br><br><strong>Smart Notifications</strong><br>Receive emails, texts and alerts right on your watch when paired with a compatible smartphone. You can even respond to texts if you have an Android™ phone.<br><br><strong>Music</strong><br>Easily download songs to your watch, including playlists from your Spotify®, Deezer or Amazon Music accounts (subscription may be required). Connect with wireless headphones (sold separately) for phone-free listening.<br><br><strong>Safety and Tracking Features</strong><br>While your watch and phone are paired, your location can be sent to your contacts either manually or — during outdoor activities — automatically with built-in incident detection, if needed.<br><br><strong>Garmin Pay™</strong><br>Breeze through checkout lines with Garmin Pay contactless payment solution4 through participating providers.<br><br><strong>Connect IQ™ Store</strong><br>Add personality to your watch by downloading apps, widgets, watch faces and more. It’s easy and — even better — it’s free.<br><br><strong>Garmin Coach</strong><br>Get a personal running coach on your wrist, for free, to help you train for your next 5K, 10K or half-marathon.","GPS Smartwatch with a Bright, Beautiful Display Built for the Active Lifestyle

• AMOLED display and up to 5-day battery life in smartwatch mode; up to 6 hours in GPS mode with music
• Keep an eye on your health 24/7 with the broadest available range of all-day health monitoring features
• Easily download music to your watch for phone-free listening
• Record all the ways to move with more than 20 preloaded GPS and indoor sports apps
• Get easy-to-follow, animated workouts right on your watch screen

More info",0.046,1,Taxable Goods,"Catalog, Search",349.99,,,,,GPS-watch Garmin Venu,"smartphone,cell phone,phone,smart cell phone,smart phone",GPS-watch Garmin Venu,239312-365698-medium.jpg,GPS-watch Garmin Venu,239312-365698-medium.jpg,GPS-watch Garmin Venu,239312-365698-medium.jpg,GPS-watch Garmin Venu,,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,"color=silver/dark blue,manufacturer=Garmin",5,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"239312-365698-medium.jpg,239313-365700-medium.jpg,239314-365702-medium.jpg,239315-365704-medium.jpg,239316-365706-medium.jpg,239317-365708-medium.jpg,239318-365710-medium.jpg",GPS-watch Garmin Venu silver/dark blue 010-02173-03,,,,,,,,,,,,,
